Price,Condo,Size,Rooms,Toilets,Suites,Parking,Elevator,Furnished,Swimming Pool,New,District,Negotiation Type,Property Type,Latitude,Longitude
3600000,0,238,4,4,3,4,0,0,1,0,Brooklin/São Paulo,sale,apartment,-23.6096077,-46.6930127
3600000,0,236,4,4,3,4,0,0,1,0,Brooklin/São Paulo,sale,apartment,-23.6096077,-46.6930127
3600000,3149,185,3,5,3,3,1,0,1,0,Itaim Bibi/São Paulo,sale,apartment,-23.587027,-46.672798
3600000,3149,185,3,4,3,3,1,0,1,0,Itaim Bibi/São Paulo,sale,apartment,-23.5870273,-46.6727988
3600000,2200,181,3,4,3,3,1,0,1,0,Moema/São Paulo,sale,apartment,-23.6034412,-46.6638856
3600000,2800,274,4,5,4,4,0,0,1,0,Campo Belo/São Paulo,sale,apartment,-23.6248418,-46.6739251
3590000,0,206,4,5,4,4,1,0,1,0,Alto de Pinheiros/São Paulo,sale,apartment,-23.545144,-46.705156
3550000,3320,400,2,4,1,1,1,0,1,0,República/São Paulo,sale,apartment,-23.544916,-46.643053
3517000,2700,294,4,6,4,4,1,0,1,0,Vila Mariana/São Paulo,sale,apartment,-23.594328,-46.627333
3500000,0,221,3,4,3,4,0,0,1,0,Moema/São Paulo,sale,apartment,-23.6007995,-46.6632565
3500000,2300,214,3,4,3,4,0,0,1,0,Moema/São Paulo,sale,apartment,-23.6078541,-46.6572232
3500000,3200,237,4,5,4,4,1,0,1,0,Itaim Bibi/São Paulo,sale,apartment,-23.580412,-46.673495
3490000,3200,505,4,5,4,4,0,0,1,0,Casa Verde/São Paulo,sale,apartment,0,0
3460000,2200,240,3,4,3,4,0,0,1,0,Brooklin/São Paulo,sale,apartment,-23.6108372,-46.6930098
3400000,4200,255,4,6,4,4,1,0,1,0,Perdizes/São Paulo,sale,apartment,-23.533583,-46.663631
3400000,3560,286,4,2,1,3,1,0,0,0,Jardim Paulista/São Paulo,sale,apartment,-23.5734504,-46.6598198
3400000,0,273,4,5,4,3,0,0,0,0,Alto de Pinheiros/São Paulo,sale,apartment,-23.5433149,-46.7037961
3250000,3500,190,4,5,2,3,1,0,1,0,Itaim Bibi/São Paulo,sale,apartment,-23.578797,-46.671463
3200000,2300,226,4,5,4,4,0,0,1,0,Brooklin/São Paulo,sale,apartment,-23.614159,-46.6883148
3200000,2100,151,2,3,2,3,1,0,0,0,Itaim Bibi/São Paulo,sale,apartment,-23.587891,-46.67435
3200000,3800,210,4,3,2,3,0,1,1,0,Jardim Paulista/São Paulo,sale,apartment,0,0
3200000,3081,255,4,5,4,4,1,0,1,0,Moema/São Paulo,sale,apartment,-23.6080159,-46.6570819
3200000,2300,173,3,4,3,3,1,1,1,0,Moema/São Paulo,sale,apartment,-23.6000751,-46.6716663
3200000,1700,167,3,4,3,2,0,0,1,0,Alto de Pinheiros/São Paulo,sale,apartment,-26.9225117,-49.0607072
